,symboling,doornumber,wheelbase,carlength,carwidth,carheight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,citympg,highwaympg,normalized_peakrpm,normalized_curbweight,label_fueltype,label_aspiration,fwd,rwd,4wd,dohc,dohcv,l,ohc,ohcv,rotor,1bbl,2bbl,4bbl,idi,mpfi,spdi,spfi,alfa,audi,bmw,buick,chevrolet,dodge,honda,isuzu,jaguar,maxda,mazda,mercury,mitsubishi,nissan,peugeot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo
0,3,2,88.6,168.8,64.1,48.8,4,130,3.47,2.68,9.0,111,21,27,0.26231806562901944,0.014530711188278764,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,88.6,168.8,64.1,48.8,4,130,3.47,2.68,9.0,111,21,27,0.26231806562901944,0.014530711188278764,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,94.5,171.2,65.5,52.4,6,152,2.68,3.47,9.0,154,19,26,0.26231806562901944,0.513624571364411,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4,99.8,176.6,66.2,54.3,4,109,3.19,3.4,10.0,102,24,30,0.785931514369987,0.4197698552559789,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,4,99.4,176.6,66.4,54.3,5,136,3.19,3.4,8.0,115,18,22,0.785931514369987,0.5155451360282389,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,2,99.8,177.3,66.3,53.1,5,136,3.19,3.4,8.5,110,19,25,0.785931514369987,0.09327386240522523,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,4,105.8,192.7,71.4,55.7,5,136,3.19,3.4,8.5,110,19,25,0.785931514369987,0.5539564293047982,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,4,105.8,192.7,71.4,55.7,5,136,3.19,3.4,8.5,110,19,25,0.785931514369987,0.765218542325874,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,4,105.8,192.7,71.4,55.9,5,131,3.13,3.4,8.3,140,17,20,0.785931514369987,1.0187330779511652,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,2,99.5,178.2,67.9,52.0,5,131,3.13,3.4,7.0,160,16,22,0.785931514369987,0.9553544440448424,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,2,101.2,176.8,64.8,54.3,4,108,3.5,2.8,8.8,101,23,29,1.414881262369391,0.3083771047539571,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,4,101.2,176.8,64.8,54.3,4,108,3.5,2.8,8.8,101,23,29,1.414881262369391,0.3083771047539571,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,2,101.2,176.8,64.8,54.3,6,164,3.31,3.19,9.0,121,21,28,1.8346924356275292,0.2966007643518512,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,4,101.2,176.8,64.8,54.3,6,164,3.31,3.19,9.0,121,21,28,1.8346924356275292,0.4022318208623891,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,4,103.5,189.0,66.9,55.7,6,164,3.31,3.19,9.0,121,20,25,1.8346924356275292,0.9591955733724983,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,4,103.5,189.0,66.9,55.7,6,209,3.62,3.39,8.0,182,16,22,0.5762815983701857,1.2952943895423918,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,2,103.5,193.8,67.9,53.7,6,209,3.62,3.39,8.0,182,16,22,0.5762815983701857,1.5833790891165862,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,4,110.0,197.0,70.9,56.3,6,209,3.62,3.39,8.0,182,15,20,0.5762815983701857,1.8234496720950815,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,2,88.4,141.1,60.3,53.2,3,61,2.91,3.03,9.5,48,47,53,0.05266814962921814,2.050329254845919,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,2,94.5,155.9,63.6,52.0,4,90,3.03,3.11,9.6,70,38,43,0.5762815983701857,1.3089912946083255,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,4,94.5,158.8,63.6,52.0,4,90,3.03,3.11,9.6,70,38,43,0.5762815983701857,1.241771531374347,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,2,93.7,157.3,63.8,50.8,4,90,2.97,3.23,9.41,68,37,41,0.785931514369987,1.3051501652806696,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,2,93.7,157.3,63.8,50.8,4,90,2.97,3.23,9.4,68,31,38,0.785931514369987,1.3051501652806696,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,2,93.7,157.3,63.8,50.8,4,98,3.03,3.39,7.6,102,24,30,0.785931514369987,0.8211678699960231,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,4,93.7,157.3,63.8,50.6,4,90,2.97,3.23,9.4,68,31,38,0.785931514369987,1.1303787808723251,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,4,93.7,157.3,63.8,50.6,4,90,2.97,3.23,9.4,68,31,38,0.785931514369987,1.08812635826811,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,4,93.7,157.3,63.8,50.6,4,90,2.97,3.23,9.4,68,31,38,0.785931514369987,1.08812635826811,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,2,93.7,157.3,63.8,50.6,4,98,3.03,3.39,7.6,102,24,30,0.785931514369987,0.7001722961748614,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-1,4,103.3,174.6,64.6,59.8,4,122,3.34,3.46,8.5,88,24,30,0.26231806562901944,0.03949805181804228,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,2,95.9,173.2,66.3,50.2,4,156,3.6,3.9,7.0,145,19,24,0.26231806562901944,0.4905777953984754,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,2,86.6,144.6,63.9,50.8,4,92,2.91,3.41,9.6,58,49,54,0.681617897628622,1.6182022054846277,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,2,86.6,144.6,63.9,50.8,4,92,2.91,3.41,9.2,76,31,38,1.8341810943689933,1.4146223511188636,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2,93.7,150.0,64.0,52.6,4,79,2.91,3.07,10.1,60,38,42,0.785931514369987,1.3800521871699603,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,93.7,150.0,64.0,52.6,4,92,2.91,3.41,9.2,76,30,34,1.8341810943689933,1.1822340267956801,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,93.7,150.0,64.0,52.6,4,92,2.91,3.41,9.2,76,30,34,1.8341810943689933,1.1515049921744327,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,4,96.5,163.4,64.0,54.5,4,92,2.91,3.41,9.2,76,30,34,1.8341810943689933,1.0477945003277227,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,4,96.5,157.1,63.9,58.3,4,92,2.92,3.41,9.2,76,30,34,1.8341810943689933,1.0209065950341312,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,2,96.5,167.5,65.2,53.3,4,110,3.15,3.58,9.0,86,27,33,1.414881262369391,0.6137468863026031,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,2,96.5,167.5,65.2,53.3,4,110,3.15,3.58,9.0,86,27,33,1.414881262369391,0.5119569591197211,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
